item,parent,label,original_point_cloud_count,minimal_bounding_box_volume,mesh_volume,date_created,user
root,
Stones,root
GuberNaturSteine,Stones
edca1fa1-9010-4b9e-8001-fcf440a264db,BatchA3,,171992,0.0063836584722239869,0.003725059754308294,2021-09-03T19:07:11Z,broyet
1a545ce8-c974-47a6-97c6-a1c60bb2f60d,BatchA3,,83636,0.0063069331996772312,0.0031379047654901807,2021-09-03T19:07:24Z,broyet
dcc9809b-37ea-4b5a-bb35-9a2e96e272a0,BatchA3,,193445,0.0091857963416075005,0.0031710338214050618,2021-09-03T19:07:46Z,broyet
aca8bd7c-66cc-4811-a358-00708d0cbfdc,BatchA3,,52810,0.0031086869717671666,0.0011765286554823399,2021-09-03T19:07:53Z,broyet
45034ec7-8a74-46e6-83f6-2305b3ba6a9d,BatchA3,,238885,0.0094573994165127566,0.0050519267049485752,2021-09-03T19:08:22Z,broyet
dd85cd22-27b1-4319-b5cc-ce005473daf2,BatchA3,,104249,0.007278282143199837,0.00315140367404298,2021-09-03T19:08:35Z,broyet
f5e623fd-f67d-4e30-bd75-ca28afda8415,BatchA3,,174469,0.010697907649325933,0.0055846915766639129,2021-09-03T19:08:56Z,broyet
118e4bf4-1600-4435-aef9-150c8a36d084,BatchA3,,168598,0.0057277123712089987,0.0024043928843670696,2021-09-03T19:09:15Z,broyet
ca8feb11-9bb1-4820-a632-cd9ff8aafc41,BatchA3,,156198,0.0065314452528319016,0.0033953098652250856,2021-09-03T19:09:33Z,broyet
78c6c9a7-28b7-457e-9455-f1abf0b535ed,BatchA3,,243756,0.0073128676718184661,0.0044620489299763881,2021-09-03T19:09:57Z,broyet
2eb084d2-5ed8-4b63-b4ef-a942f85957c4,BatchA3,,143591,0.0088959780641667766,0.0048314023134787771,2021-09-03T19:10:16Z,broyet
6637771b-2414-463f-a133-6999e86a8d5d,BatchA3,,164666,0.0091778258599077272,0.0053663668931443545,2021-09-03T19:10:39Z,broyet
7e6ac0a2-1b2b-48e8-ab38-c4b4ca700309,BatchA3,,115311,0.0031329097813326975,0.0015902683423003052,2021-09-03T19:10:52Z,broyet
8dc59436-e40f-4f3e-ae7a-d1259b25a6f7,BatchA3,,128413,0.004529011486693206,0.002627505651326511,2021-09-03T19:11:06Z,broyet
e97c839f-3154-4332-b96b-976b73368da6,BatchA3,,69964,0.0023585503753818012,0.0012654188384281222,2021-09-03T19:11:13Z,broyet
f13e97ba-74e5-46d9-8c7b-3ade6f1034d2,BatchA3,,61038,0.0014182121199806117,0.0007779666122000534,2021-09-03T19:11:20Z,broyet
01135618-66ea-4c44-898b-6686e95ff45b,BatchA3,,35424,0.0022009988671111117,-0.0012158395414154763,2021-09-03T19:11:25Z,broyet
4bfc7f8a-5393-4756-ade5-4506fe194ce2,BatchA3,,63852,0.0021694302998477907,0.0011645289725980754,2021-09-03T19:11:32Z,broyet
0429fa91-d399-4656-bf34-5be4ac71cdbe,BatchA3,,262929,0.008598094019436309,0.0066357771380761883,2021-09-03T19:12:02Z,broyet
ad5d88e7-8fd0-4e27-9ae0-74bf28e4e64f,BatchA3,,141861,0.0045385937063596752,0.0024022349577947403,2021-09-03T19:12:19Z,broyet
40ee38c0-1823-47b7-bd6c-41fbc2dc0b32,BatchA3,,73468,0.0022099858785718184,-0.0010814052539023374,2021-09-03T19:12:27Z,broyet
548470ac-ce36-499a-bd76-503a3fe9e0ac,BatchA3,,160839,0.0060881201164715909,0.0035849339101316781,2021-09-03T19:12:46Z,broyet
3e1e2b7d-c900-450e-8f3c-5035440f2fb0,BatchA3,,175622,0.0065575163226593994,0.0039980635565087007,2021-09-03T19:13:04Z,broyet
94d68f4d-5a61-4ec0-a573-41babc3403c6,BatchA3,,79388,0.002445521335779429,0.0013758316969016294,2021-09-03T19:13:13Z,broyet
4ecf4ff9-4a78-40be-a48e-e65efc0bc234,BatchA3,,218769,0.0073389558180681144,0.0044601295713103334,2021-09-03T19:13:38Z,broyet
312e3b1a-a0d2-47cd-8138-3840ef9b82a5,BatchA3,,68958,0.0042637271446847634,0.0017731336434944258,2021-09-03T19:13:46Z,broyet
